resume_text,role
ci/cd aws azure gcp Implemented CI/CD kubernetes Led a project on terraform Owned end-to-end azure reduced time by 29%,DevOps Engineer
azure ci/cd gcp aws Designed and implemented team Collaborated with kubernetes Improved performance of project reduced time by 58%,DevOps Engineer
director ci/cd aws terraform docker Designed and implemented ci/cd Worked on automation Owned end-to-end tooling,DevOps Engineer
docker kubernetes ci/cd terraform Designed and implemented tooling Collaborated with system Implemented CI/CD system reduced time by 30%,DevOps Engineer
lead ansible ci/cd aws terraform Managed project Optimized terraform Developed azure,DevOps Engineer
azure docker kubernetes ansible Collaborated with automation Improved performance of automation Collaborated with aws reduced time by 19%,DevOps Engineer
kubernetes ansible ci/cd terraform Developed azure Collaborated with ci/cd Improved performance of ansible reduced time by 14%,DevOps Engineer
terraform azure aws ansible Worked on aws Collaborated with azure Designed and implemented ansible reduced time by 43%,DevOps Engineer
senior gcp terraform kubernetes ci/cd Responsible for system Improved performance of ci/cd Responsible for ansible reduced time by 38% handled team of 3,DevOps Engineer
intern kubernetes docker gcp ansible Designed and implemented docker Optimized ansible Implemented CI/CD system,DevOps Engineer
aws terraform ci/cd gcp Led a project on ansible Worked on project Built scalable ansible,DevOps Engineer
ansible azure kubernetes terraform Authored aws Collaborated with ansible Managed terraform,DevOps Engineer
aws gcp terraform docker Managed azure Worked on system Developed terraform reduced time by 44%,DevOps Engineer
aws azure docker gcp Responsible for docker Managed docker Responsible for project reduced time by 21%,DevOps Engineer
terraform docker azure ansible Managed kubernetes Managed ansible Optimized automation,DevOps Engineer
lead kubernetes aws gcp ansible Authored system Designed and implemented tooling Optimized aws reduced time by 36%,DevOps Engineer
kubernetes azure terraform docker Responsible for gcp Built scalable tooling Worked on kubernetes,DevOps Engineer
ci/cd kubernetes ansible gcp Designed and implemented team Led a project on docker Collaborated with azure,DevOps Engineer
senior azure docker ci/cd aws Responsible for kubernetes Designed and implemented aws Worked on team reduced time by 20%,DevOps Engineer
intern ansible gcp ci/cd azure Developed terraform Worked on tooling Owned end-to-end docker reduced time by 28% handled team of 9,DevOps Engineer
intern gcp aws azure kubernetes Led a project on team Built scalable terraform Led a project on tooling reduced time by 39% handled team of 10,DevOps Engineer
terraform ansible ci/cd kubernetes Optimized gcp Authored automation Built scalable kubernetes,DevOps Engineer
terraform ci/cd azure gcp Worked on tooling Worked on aws Responsible for terraform,DevOps Engineer
manager docker aws ansible ci/cd Developed aws Responsible for system Implemented CI/CD aws handled team of 15,DevOps Engineer
kubernetes ci/cd ansible gcp Managed project Authored azure Responsible for ansible reduced time by 24%,DevOps Engineer
azure docker ci/cd kubernetes Implemented CI/CD team Collaborated with team Owned end-to-end system,DevOps Engineer
docker gcp kubernetes aws Responsible for terraform Owned end-to-end team Worked on system,DevOps Engineer
intern azure terraform ansible docker Built scalable gcp Developed tooling Managed azure reduced time by 31%,DevOps Engineer
aws docker terraform gcp Improved performance of tooling Designed and implemented aws Collaborated with docker,DevOps Engineer
principal terraform azure gcp ansible Led a project on ansible Built scalable terraform Built scalable docker reduced time by 15%,DevOps Engineer
lead terraform kubernetes azure docker Built scalable tooling Owned end-to-end azure Managed ansible,DevOps Engineer
aws ansible ci/cd docker Designed and implemented kubernetes Improved performance of aws Built scalable gcp reduced time by 10% handled team of 14,DevOps Engineer
kubernetes azure ci/cd ansible Built scalable team Led a project on aws Designed and implemented azure,DevOps Engineer
ansible gcp docker ci/cd Optimized tooling Built scalable team Built scalable docker,DevOps Engineer
gcp ci/cd terraform azure Worked on ansible Responsible for gcp Collaborated with tooling,DevOps Engineer
gcp ci/cd azure kubernetes Designed and implemented automation Led a project on ansible Designed and implemented project reduced time by 41%,DevOps Engineer
intern docker gcp ci/cd kubernetes Collaborated with docker Implemented CI/CD ci/cd Built scalable team reduced time by 25% handled team of 5,DevOps Engineer
junior gcp ansible aws azure Led a project on project Built scalable docker Authored ci/cd reduced time by 19% handled team of 3,DevOps Engineer
lead docker ci/cd aws ansible Designed and implemented ansible Improved performance of ci/cd Improved performance of team,DevOps Engineer
ansible aws terraform azure Optimized kubernetes Led a project on system Improved performance of aws,DevOps Engineer
ansible gcp azure kubernetes Responsible for tooling Worked on team Collaborated with ci/cd,DevOps Engineer
ansible azure docker terraform Authored terraform Authored system Improved performance of tooling reduced time by 45%,DevOps Engineer
aws ci/cd azure terraform Collaborated with tooling Led a project on automation Implemented CI/CD docker,DevOps Engineer
azure gcp kubernetes terraform Owned end-to-end ansible Improved performance of azure Managed ci/cd reduced time by 44%,DevOps Engineer
lead terraform docker kubernetes ci/cd Managed system Developed aws Improved performance of ci/cd reduced time by 17%,DevOps Engineer
principal gcp azure terraform aws Implemented CI/CD terraform Improved performance of ansible Collaborated with gcp reduced time by 47%,DevOps Engineer
lead azure docker gcp terraform Developed team Worked on terraform Led a project on project reduced time by 43% handled team of 2,DevOps Engineer
kubernetes docker ci/cd gcp Managed team Improved performance of ansible Managed ansible reduced time by 33%,DevOps Engineer
gcp azure ansible terraform Designed and implemented system Improved performance of docker Designed and implemented ansible reduced time by 20%,DevOps Engineer
ci/cd kubernetes ansible azure Optimized system Authored kubernetes Designed and implemented aws,DevOps Engineer
docker kubernetes ci/cd gcp Worked on terraform Owned end-to-end project Owned end-to-end kubernetes reduced time by 59%,DevOps Engineer
ansible terraform docker gcp Led a project on system Managed docker Managed project reduced time by 19%,DevOps Engineer
lead gcp terraform aws kubernetes Responsible for team Designed and implemented ci/cd Designed and implemented team reduced time by 26%,DevOps Engineer
junior docker terraform azure ci/cd Responsible for automation Collaborated with ansible Authored tooling reduced time by 40%,DevOps Engineer
ci/cd kubernetes docker gcp Built scalable terraform Authored ansible Built scalable system,DevOps Engineer
terraform docker gcp aws Developed azure Implemented CI/CD automation Responsible for automation,DevOps Engineer
manager azure gcp ci/cd ansible Worked on docker Implemented CI/CD gcp Optimized azure,DevOps Engineer
kubernetes aws docker gcp Led a project on ansible Managed terraform Built scalable docker handled team of 7,DevOps Engineer
senior aws azure docker terraform Authored project Authored kubernetes Developed project reduced time by 32% handled team of 13,DevOps Engineer
ci/cd docker kubernetes azure Built scalable docker Collaborated with team Authored aws,DevOps Engineer
lead gcp aws docker ci/cd Built scalable automation Developed automation Worked on system reduced time by 24%,DevOps Engineer
senior ansible aws kubernetes docker Built scalable tooling Built scalable system Collaborated with terraform reduced time by 15%,DevOps Engineer
manager ci/cd azure docker aws Responsible for team Collaborated with automation Designed and implemented system reduced time by 45% handled team of 3,DevOps Engineer
director ansible kubernetes docker aws Collaborated with terraform Optimized kubernetes Collaborated with azure,DevOps Engineer
gcp ansible terraform aws Worked on ansible Collaborated with azure Responsible for azure handled team of 13,DevOps Engineer
lead ci/cd ansible docker gcp Owned end-to-end project Worked on team Authored system reduced time by 32%,DevOps Engineer
aws ci/cd ansible azure Optimized tooling Worked on automation Collaborated with project,DevOps Engineer
gcp ci/cd terraform docker Led a project on gcp Designed and implemented azure Worked on system reduced time by 24%,DevOps Engineer
docker azure kubernetes ansible Developed automation Built scalable terraform Managed kubernetes handled team of 6,DevOps Engineer
gcp aws kubernetes ci/cd Designed and implemented automation Authored ansible Led a project on kubernetes,DevOps Engineer
senior ci/cd ansible kubernetes gcp Designed and implemented kubernetes Designed and implemented system Designed and implemented tooling handled team of 14,DevOps Engineer
aws docker kubernetes ansible Owned end-to-end azure Implemented CI/CD docker Built scalable kubernetes reduced time by 56%,DevOps Engineer
intern aws ansible ci/cd docker Optimized gcp Designed and implemented ansible Managed ci/cd reduced time by 23% handled team of 10,DevOps Engineer
manager docker ansible gcp terraform Managed system Managed project Optimized kubernetes handled team of 10,DevOps Engineer
principal kubernetes terraform aws gcp Collaborated with automation Designed and implemented azure Built scalable project,DevOps Engineer
gcp kubernetes ci/cd ansible Collaborated with project Authored terraform Designed and implemented terraform,DevOps Engineer
docker azure kubernetes aws Implemented CI/CD aws Implemented CI/CD terraform Collaborated with docker,DevOps Engineer
docker terraform kubernetes aws Designed and implemented azure Worked on ci/cd Designed and implemented team,DevOps Engineer
manager terraform ansible aws azure Designed and implemented ansible Led a project on ci/cd Designed and implemented docker,DevOps Engineer
terraform ci/cd kubernetes aws Worked on gcp Owned end-to-end team Authored aws,DevOps Engineer
terraform ansible ci/cd azure Designed and implemented terraform Developed project Managed ci/cd,DevOps Engineer
terraform kubernetes ansible ci/cd Owned end-to-end gcp Designed and implemented docker Led a project on tooling,DevOps Engineer
kubernetes azure ansible terraform Improved performance of kubernetes Built scalable ansible Implemented CI/CD project handled team of 14,DevOps Engineer
terraform kubernetes gcp azure Managed tooling Worked on kubernetes Designed and implemented aws,DevOps Engineer
director kubernetes ci/cd azure aws Built scalable azure Authored azure Worked on system reduced time by 51%,DevOps Engineer
docker kubernetes aws azure Improved performance of team Improved performance of project Managed system,DevOps Engineer
kubernetes aws azure ansible Collaborated with project Improved performance of system Managed system handled team of 3,DevOps Engineer
junior ci/cd kubernetes aws gcp Worked on terraform Designed and implemented docker Authored gcp handled team of 14,DevOps Engineer
gcp terraform kubernetes docker Developed ansible Developed docker Managed docker reduced time by 22%,DevOps Engineer
ci/cd kubernetes docker gcp Implemented CI/CD gcp Improved performance of ansible Implemented CI/CD docker reduced time by 10% handled team of 6,DevOps Engineer
ansible azure terraform kubernetes Implemented CI/CD automation Authored tooling Collaborated with tooling handled team of 9,DevOps Engineer
principal gcp docker ansible kubernetes Managed project Managed azure Led a project on terraform reduced time by 47%,DevOps Engineer
principal ansible kubernetes ci/cd azure Authored gcp Owned end-to-end automation Owned end-to-end gcp reduced time by 56%,DevOps Engineer
gcp aws ci/cd terraform Authored terraform Authored docker Owned end-to-end terraform handled team of 14,DevOps Engineer
lead terraform docker gcp azure Managed project Authored kubernetes Optimized docker,DevOps Engineer
senior azure ansible docker kubernetes Implemented CI/CD aws Developed aws Improved performance of azure,DevOps Engineer
principal gcp ansible ci/cd azure Owned end-to-end aws Led a project on aws Optimized aws,DevOps Engineer
manager kubernetes gcp terraform azure Designed and implemented docker Led a project on team Collaborated with gcp,DevOps Engineer
terraform gcp docker azure Improved performance of terraform Optimized azure Improved performance of team,DevOps Engineer
azure aws gcp terraform Responsible for ci/cd Developed system Built scalable aws handled team of 4,DevOps Engineer
manager azure docker ansible ci/cd Authored kubernetes Collaborated with terraform Optimized terraform handled team of 4,DevOps Engineer
aws ansible gcp docker Managed system Authored kubernetes Responsible for team reduced time by 39%,DevOps Engineer
ci/cd azure terraform gcp Authored ci/cd Owned end-to-end docker Collaborated with kubernetes,DevOps Engineer
ansible ci/cd docker aws Improved performance of kubernetes Led a project on automation Owned end-to-end aws reduced time by 30%,DevOps Engineer
docker ansible kubernetes aws Managed system Collaborated with tooling Led a project on azure,DevOps Engineer
kubernetes ansible ci/cd aws Optimized azure Authored kubernetes Responsible for ci/cd reduced time by 20%,DevOps Engineer
junior docker terraform azure ansible Developed docker Implemented CI/CD ansible Collaborated with gcp reduced time by 53%,DevOps Engineer
ci/cd terraform azure gcp Owned end-to-end system Responsible for kubernetes Designed and implemented system reduced time by 35%,DevOps Engineer
gcp docker kubernetes azure Owned end-to-end aws Led a project on tooling Designed and implemented docker,DevOps Engineer
azure aws gcp ansible Authored kubernetes Authored gcp Owned end-to-end automation reduced time by 16%,DevOps Engineer
docker terraform aws ci/cd Worked on automation Designed and implemented ansible Worked on azure,DevOps Engineer
gcp ansible aws docker Optimized ci/cd Optimized docker Improved performance of docker reduced time by 53% handled team of 15,DevOps Engineer
docker kubernetes gcp aws Owned end-to-end tooling Collaborated with team Implemented CI/CD terraform,DevOps Engineer
manager aws docker kubernetes ci/cd Collaborated with system Developed azure Worked on system,DevOps Engineer
senior ansible aws docker azure Designed and implemented azure Improved performance of docker Improved performance of project reduced time by 54%,DevOps Engineer
ci/cd kubernetes ansible terraform Led a project on ci/cd Led a project on gcp Collaborated with ci/cd,DevOps Engineer
ci/cd ansible terraform aws Implemented CI/CD system Collaborated with project Owned end-to-end azure handled team of 13,DevOps Engineer
terraform gcp kubernetes ci/cd Designed and implemented kubernetes Owned end-to-end system Worked on terraform,DevOps Engineer
terraform docker ci/cd aws Improved performance of ci/cd Designed and implemented ci/cd Developed ci/cd reduced time by 47%,DevOps Engineer
ansible aws terraform kubernetes Managed team Developed aws Built scalable kubernetes reduced time by 43%,DevOps Engineer
kubernetes ansible azure aws Implemented CI/CD aws Implemented CI/CD team Improved performance of docker reduced time by 32%,DevOps Engineer
ci/cd terraform kubernetes aws Improved performance of aws Worked on system Owned end-to-end kubernetes,DevOps Engineer
terraform azure docker aws Improved performance of azure Designed and implemented system Built scalable system,DevOps Engineer
kubernetes ci/cd terraform aws Optimized automation Authored azure Responsible for aws,DevOps Engineer
ci/cd aws azure gcp Developed ansible Led a project on team Developed gcp reduced time by 28% handled team of 3,DevOps Engineer
terraform aws gcp azure Built scalable team Led a project on project Authored azure reduced time by 29%,DevOps Engineer
azure terraform ci/cd ansible Developed ansible Improved performance of team Collaborated with team,DevOps Engineer
terraform docker kubernetes ci/cd Built scalable terraform Designed and implemented aws Designed and implemented ci/cd handled team of 10,DevOps Engineer
junior kubernetes ansible docker aws Responsible for gcp Managed terraform Developed system,DevOps Engineer
azure kubernetes terraform ansible Improved performance of gcp Implemented CI/CD ci/cd Managed ci/cd,DevOps Engineer
ansible aws kubernetes terraform Led a project on kubernetes Designed and implemented aws Optimized aws reduced time by 39%,DevOps Engineer
azure kubernetes ansible ci/cd Collaborated with docker Authored team Authored docker reduced time by 15% handled team of 3,DevOps Engineer
lead kubernetes ci/cd azure docker Developed azure Built scalable team Developed ci/cd,DevOps Engineer
junior terraform aws docker azure Owned end-to-end terraform Optimized azure Implemented CI/CD ansible,DevOps Engineer
docker terraform kubernetes ansible Optimized tooling Developed project Implemented CI/CD team,DevOps Engineer
ci/cd gcp kubernetes terraform Owned end-to-end system Optimized tooling Developed project,DevOps Engineer
docker ci/cd azure aws Designed and implemented project Responsible for azure Implemented CI/CD system,DevOps Engineer
ci/cd kubernetes ansible docker Designed and implemented gcp Improved performance of tooling Collaborated with system,DevOps Engineer
kubernetes gcp ci/cd azure Built scalable team Improved performance of automation Implemented CI/CD aws reduced time by 52%,DevOps Engineer
terraform ci/cd docker aws Led a project on docker Worked on azure Authored azure,DevOps Engineer
ansible terraform azure kubernetes Owned end-to-end system Optimized gcp Implemented CI/CD gcp reduced time by 21%,DevOps Engineer
ci/cd gcp docker ansible Implemented CI/CD terraform Authored terraform Collaborated with ci/cd,DevOps Engineer
senior ci/cd terraform ansible gcp Implemented CI/CD ci/cd Managed azure Collaborated with automation,DevOps Engineer
gcp docker ansible aws Managed automation Led a project on ci/cd Led a project on ansible,DevOps Engineer
gcp ansible terraform aws Collaborated with gcp Designed and implemented team Managed aws reduced time by 22%,DevOps Engineer
senior ansible azure ci/cd docker Collaborated with docker Managed project Responsible for terraform,DevOps Engineer
lead ci/cd gcp terraform aws Collaborated with project Managed aws Improved performance of system,DevOps Engineer
terraform ansible docker gcp Owned end-to-end team Optimized project Collaborated with docker reduced time by 19%,DevOps Engineer
docker ansible kubernetes terraform Managed team Worked on system Owned end-to-end project,DevOps Engineer
gcp kubernetes aws terraform Optimized team Improved performance of automation Led a project on ansible,DevOps Engineer
manager terraform gcp docker ansible Worked on team Developed gcp Developed gcp reduced time by 22%,DevOps Engineer
manager ansible docker aws gcp Owned end-to-end ci/cd Implemented CI/CD system Collaborated with kubernetes reduced time by 21%,DevOps Engineer
azure kubernetes gcp ci/cd Worked on ansible Implemented CI/CD gcp Responsible for team,DevOps Engineer
azure docker gcp aws Worked on tooling Authored terraform Authored azure,DevOps Engineer
docker gcp kubernetes terraform Optimized project Improved performance of azure Designed and implemented project reduced time by 13%,DevOps Engineer
ansible docker ci/cd terraform Collaborated with terraform Built scalable gcp Led a project on aws,DevOps Engineer
senior ansible docker terraform azure Managed kubernetes Led a project on ci/cd Worked on system handled team of 15,DevOps Engineer
ci/cd docker ansible gcp Improved performance of system Owned end-to-end automation Managed kubernetes,DevOps Engineer
gcp terraform docker azure Authored docker Authored project Developed automation reduced time by 48%,DevOps Engineer
terraform azure kubernetes aws Authored team Optimized ansible Worked on docker reduced time by 34%,DevOps Engineer
junior ansible terraform gcp kubernetes Improved performance of system Owned end-to-end system Managed kubernetes,DevOps Engineer
gcp aws docker terraform Implemented CI/CD ci/cd Led a project on ansible Led a project on team,DevOps Engineer
aws kubernetes ansible terraform Authored kubernetes Developed kubernetes Led a project on automation,DevOps Engineer
gcp aws docker terraform Improved performance of terraform Managed aws Worked on docker reduced time by 18%,DevOps Engineer
gcp ci/cd terraform azure Built scalable ci/cd Collaborated with terraform Owned end-to-end project,DevOps Engineer
principal gcp azure aws ci/cd Developed gcp Developed project Worked on ci/cd handled team of 7,DevOps Engineer
intern docker aws ansible terraform Built scalable automation Implemented CI/CD system Managed project,DevOps Engineer
azure ci/cd aws docker Managed ci/cd Owned end-to-end project Managed docker reduced time by 30%,DevOps Engineer
ansible gcp aws docker Improved performance of aws Improved performance of ansible Designed and implemented gcp reduced time by 41%,DevOps Engineer
kubernetes azure terraform aws Improved performance of system Managed docker Owned end-to-end ansible,DevOps Engineer
principal ansible ci/cd kubernetes gcp Authored kubernetes Led a project on ansible Improved performance of system handled team of 3,DevOps Engineer
gcp docker kubernetes terraform Optimized automation Worked on terraform Authored kubernetes,DevOps Engineer
azure terraform docker kubernetes Responsible for azure Owned end-to-end ansible Owned end-to-end tooling reduced time by 52%,DevOps Engineer
docker ansible kubernetes gcp Developed kubernetes Developed gcp Improved performance of system,DevOps Engineer
terraform gcp ansible aws Owned end-to-end team Owned end-to-end system Developed ci/cd,DevOps Engineer
ci/cd aws azure docker Responsible for ci/cd Responsible for system Optimized project,DevOps Engineer
lead azure gcp ci/cd aws Led a project on docker Built scalable ci/cd Designed and implemented system,DevOps Engineer
gcp azure aws ci/cd Implemented CI/CD kubernetes Led a project on automation Collaborated with automation reduced time by 11%,DevOps Engineer
junior docker gcp aws azure Collaborated with kubernetes Led a project on gcp Implemented CI/CD gcp,DevOps Engineer
intern docker ci/cd kubernetes azure Authored kubernetes Optimized project Managed aws,DevOps Engineer
terraform aws docker azure Owned end-to-end azure Optimized ci/cd Collaborated with ansible reduced time by 35%,DevOps Engineer
aws kubernetes terraform ci/cd Developed ci/cd Worked on project Designed and implemented team handled team of 4,DevOps Engineer
lead ansible azure kubernetes docker Led a project on team Managed gcp Collaborated with terraform,DevOps Engineer
manager terraform kubernetes azure ci/cd Optimized project Managed ansible Authored ci/cd,DevOps Engineer
aws azure ci/cd kubernetes Designed and implemented kubernetes Worked on team Responsible for automation,DevOps Engineer
principal gcp kubernetes ci/cd azure Managed kubernetes Developed gcp Worked on automation reduced time by 27%,DevOps Engineer
gcp ansible docker aws Designed and implemented ci/cd Optimized project Led a project on automation,DevOps Engineer
terraform azure aws ci/cd Worked on docker Managed ansible Led a project on kubernetes,DevOps Engineer
terraform azure kubernetes gcp Led a project on aws Designed and implemented terraform Owned end-to-end team handled team of 6,DevOps Engineer
intern ansible kubernetes ci/cd gcp Improved performance of ci/cd Built scalable system Improved performance of team reduced time by 11% handled team of 7,DevOps Engineer
lead kubernetes ansible azure ci/cd Owned end-to-end team Worked on azure Led a project on project,DevOps Engineer
kubernetes terraform docker ci/cd Collaborated with team Authored team Owned end-to-end tooling handled team of 2,DevOps Engineer
docker gcp kubernetes terraform Developed ci/cd Designed and implemented ci/cd Optimized tooling,DevOps Engineer
ci/cd aws ansible docker Optimized aws Collaborated with project Built scalable azure,DevOps Engineer
docker aws azure ci/cd Managed automation Optimized terraform Owned end-to-end aws,DevOps Engineer
terraform aws gcp docker Implemented CI/CD ci/cd Designed and implemented kubernetes Improved performance of ci/cd reduced time by 44%,DevOps Engineer
azure gcp terraform ci/cd Worked on kubernetes Owned end-to-end docker Collaborated with terraform,DevOps Engineer
ansible ci/cd terraform docker Authored ci/cd Optimized team Designed and implemented team reduced time by 11%,DevOps Engineer
ansible ci/cd terraform gcp Improved performance of aws Worked on automation Responsible for project handled team of 9,DevOps Engineer
terraform azure kubernetes docker Authored project Managed project Worked on azure handled team of 14,DevOps Engineer
terraform gcp ci/cd docker Managed kubernetes Led a project on kubernetes Authored docker reduced time by 37%,DevOps Engineer
gcp azure terraform aws Designed and implemented team Improved performance of gcp Authored docker,DevOps Engineer
aws ansible ci/cd kubernetes Responsible for tooling Built scalable aws Owned end-to-end team,DevOps Engineer
ansible aws gcp terraform Implemented CI/CD ci/cd Owned end-to-end tooling Collaborated with ci/cd handled team of 3,DevOps Engineer
ansible kubernetes docker gcp Built scalable kubernetes Worked on ansible Collaborated with aws,DevOps Engineer
lead ansible terraform docker azure Built scalable terraform Authored tooling Developed kubernetes,DevOps Engineer
intern aws docker gcp kubernetes Implemented CI/CD kubernetes Authored terraform Implemented CI/CD azure,DevOps Engineer
ansible aws azure docker Led a project on terraform Implemented CI/CD kubernetes Worked on terraform,DevOps Engineer
azure terraform ansible kubernetes Improved performance of terraform Owned end-to-end kubernetes Built scalable gcp reduced time by 43%,DevOps Engineer
azure docker kubernetes aws Responsible for gcp Optimized kubernetes Collaborated with aws,DevOps Engineer
azure docker terraform ci/cd Collaborated with team Built scalable team Authored kubernetes reduced time by 29%,DevOps Engineer
junior azure kubernetes ci/cd gcp Improved performance of aws Improved performance of docker Improved performance of ansible reduced time by 32%,DevOps Engineer
principal kubernetes gcp azure terraform Worked on automation Implemented CI/CD system Designed and implemented automation,DevOps Engineer
junior docker ansible azure terraform Owned end-to-end gcp Responsible for team Implemented CI/CD azure reduced time by 26%,DevOps Engineer
director aws terraform ansible docker Worked on gcp Improved performance of automation Led a project on ansible,DevOps Engineer
manager docker aws ansible terraform Worked on system Implemented CI/CD gcp Built scalable system,DevOps Engineer
aws ansible docker gcp Collaborated with ansible Optimized tooling Responsible for automation,DevOps Engineer
principal docker kubernetes ansible ci/cd Optimized gcp Led a project on ansible Managed team,DevOps Engineer
aws ci/cd azure kubernetes Authored azure Worked on aws Developed ansible reduced time by 23% handled team of 12,DevOps Engineer
ci/cd terraform ansible kubernetes Collaborated with terraform Led a project on team Authored tooling,DevOps Engineer
gcp terraform azure docker Collaborated with ci/cd Led a project on system Authored docker reduced time by 14%,DevOps Engineer
kubernetes terraform azure ci/cd Designed and implemented docker Built scalable gcp Implemented CI/CD aws,DevOps Engineer
intern kubernetes ci/cd terraform ansible Managed ansible Responsible for docker Led a project on docker reduced time by 58% handled team of 6,DevOps Engineer
director ci/cd docker terraform ansible Developed ansible Owned end-to-end automation Developed tooling handled team of 8,DevOps Engineer
azure kubernetes docker ansible Managed gcp Built scalable project Managed system handled team of 2,DevOps Engineer
gcp docker aws kubernetes Worked on ansible Implemented CI/CD gcp Worked on automation,DevOps Engineer
docker kubernetes ansible azure Developed tooling Managed aws Improved performance of terraform reduced time by 19%,DevOps Engineer
lead docker ansible kubernetes azure Collaborated with terraform Built scalable ci/cd Collaborated with team,DevOps Engineer
terraform docker ansible ci/cd Designed and implemented project Owned end-to-end team Implemented CI/CD terraform,DevOps Engineer
gcp ansible kubernetes azure Led a project on tooling Improved performance of aws Managed tooling,DevOps Engineer
kubernetes terraform docker aws Responsible for docker Led a project on gcp Built scalable project,DevOps Engineer
senior azure ansible terraform kubernetes Authored system Worked on ansible Developed automation,DevOps Engineer
azure ci/cd gcp terraform Improved performance of aws Implemented CI/CD terraform Worked on team,DevOps Engineer
ci/cd terraform docker aws Designed and implemented tooling Responsible for ansible Authored automation,DevOps Engineer
docker aws azure kubernetes Improved performance of project Improved performance of automation Optimized gcp,DevOps Engineer
manager ci/cd aws terraform ansible Developed system Improved performance of gcp Worked on system reduced time by 14%,DevOps Engineer
lead ci/cd aws azure gcp Managed team Improved performance of azure Built scalable gcp reduced time by 37%,DevOps Engineer
ansible gcp azure kubernetes Collaborated with kubernetes Managed azure Authored team handled team of 12,DevOps Engineer
terraform ansible gcp azure Optimized azure Owned end-to-end project Improved performance of gcp handled team of 11,DevOps Engineer
docker ansible terraform aws Led a project on docker Authored automation Developed kubernetes reduced time by 27% handled team of 14,DevOps Engineer
kubernetes ansible terraform aws Led a project on tooling Optimized automation Improved performance of kubernetes,DevOps Engineer
azure docker kubernetes terraform Built scalable azure Led a project on tooling Collaborated with aws,DevOps Engineer
docker ci/cd aws ansible Improved performance of azure Designed and implemented ci/cd Collaborated with tooling reduced time by 58%,DevOps Engineer
junior aws azure kubernetes terraform Responsible for azure Developed azure Developed ansible handled team of 5,DevOps Engineer
gcp kubernetes ci/cd docker Owned end-to-end terraform Collaborated with gcp Implemented CI/CD ansible reduced time by 58% handled team of 7,DevOps Engineer
principal ansible aws ci/cd kubernetes Owned end-to-end system Managed tooling Implemented CI/CD tooling reduced time by 11%,DevOps Engineer
kubernetes gcp ci/cd ansible Collaborated with ci/cd Optimized automation Led a project on automation reduced time by 23%,DevOps Engineer
manager ansible ci/cd gcp aws Responsible for ansible Managed automation Designed and implemented kubernetes,DevOps Engineer
docker azure aws ansible Designed and implemented aws Authored docker Built scalable azure,DevOps Engineer
ci/cd docker kubernetes azure Responsible for automation Designed and implemented project Led a project on ansible reduced time by 45%,DevOps Engineer
director aws kubernetes ci/cd ansible Led a project on automation Collaborated with system Owned end-to-end ansible,DevOps Engineer
lead ansible azure terraform aws Optimized azure Managed azure Built scalable docker handled team of 9,DevOps Engineer
ansible docker terraform azure Collaborated with ansible Improved performance of project Designed and implemented terraform handled team of 4,DevOps Engineer
principal docker ansible aws terraform Managed azure Owned end-to-end docker Managed azure,DevOps Engineer
director gcp terraform ansible aws Worked on ci/cd Worked on azure Developed team reduced time by 37% handled team of 11,DevOps Engineer
terraform kubernetes gcp ci/cd Managed ansible Optimized aws Worked on kubernetes reduced time by 38%,DevOps Engineer
azure ansible terraform aws Authored gcp Collaborated with aws Developed ansible,DevOps Engineer
ci/cd gcp terraform docker Built scalable aws Collaborated with ansible Improved performance of gcp,DevOps Engineer
terraform ci/cd kubernetes azure Worked on system Implemented CI/CD docker Owned end-to-end ci/cd,DevOps Engineer
ansible azure docker ci/cd Owned end-to-end gcp Led a project on automation Responsible for project reduced time by 51%,DevOps Engineer
junior aws gcp terraform azure Optimized docker Optimized project Worked on aws reduced time by 43%,DevOps Engineer
kubernetes terraform docker ansible Built scalable docker Responsible for aws Designed and implemented ansible,DevOps Engineer
ansible aws gcp terraform Collaborated with tooling Led a project on system Authored ci/cd,DevOps Engineer
junior ci/cd azure docker ansible Worked on azure Authored team Authored aws reduced time by 37% handled team of 10,DevOps Engineer
ansible gcp terraform docker Led a project on project Optimized automation Improved performance of kubernetes,DevOps Engineer
azure gcp docker aws Optimized automation Developed azure Managed terraform handled team of 15,DevOps Engineer
terraform aws docker kubernetes Led a project on ansible Implemented CI/CD automation Developed azure,DevOps Engineer
gcp docker ansible ci/cd Built scalable system Worked on terraform Owned end-to-end team reduced time by 41%,DevOps Engineer
terraform docker kubernetes ci/cd Authored aws Managed team Designed and implemented project reduced time by 49%,DevOps Engineer
kubernetes gcp ansible aws Built scalable gcp Implemented CI/CD gcp Collaborated with ansible,DevOps Engineer
ansible terraform aws ci/cd Owned end-to-end azure Authored tooling Worked on tooling,DevOps Engineer
principal gcp azure aws ci/cd Managed terraform Managed aws Improved performance of ci/cd,DevOps Engineer
kubernetes terraform aws docker Built scalable kubernetes Built scalable gcp Collaborated with team reduced time by 52%,DevOps Engineer
ansible docker gcp kubernetes Worked on terraform Owned end-to-end tooling Collaborated with terraform reduced time by 18%,DevOps Engineer
kubernetes azure ansible docker Worked on project Designed and implemented kubernetes Optimized tooling reduced time by 54%,DevOps Engineer
docker ci/cd azure gcp Worked on team Managed automation Authored team reduced time by 32%,DevOps Engineer
senior kubernetes azure terraform aws Authored terraform Designed and implemented team Designed and implemented azure reduced time by 12%,DevOps Engineer
